[11978.809189] CMPE 283 Assignment 1 Module Start
[11978.813834] Pinbased Controls MSR: 0x3f00000016
[11978.818486]   External Interrupt Exiting: Can set=Yes, Can clear=Yes
[11978.824957]   NMI Exiting: Can set=Yes, Can clear=Yes
[11978.830134]   Virtual NMIs: Can set=Yes, Can clear=Yes
[11978.835387]   Activate VMX Preemption Timer: Can set=No, Can clear=Yes
[11978.842067]   Process Posted Interrupts: Can set=No, Can clear=Yes
[11978.848391] Processor based Controls MSR: 0xf7b9fffe0401e172
[11978.854258]   Interrupt Window Exiting: Can set=Yes, Can clear=Yes
[11978.860559]   Use TSC Offsetting: Can set=Yes, Can clear=Yes
[11978.866338]   HLT Exiting: Can set=Yes, Can clear=Yes
[11978.871566]   INVLPG Exiting: Can set=Yes, Can clear=Yes
[11978.877186]   MWAIT Exiting: Can set=Yes, Can clear=Yes
[11978.882545]   RDPMC Exiting: Can set=Yes, Can clear=Yes
[11978.887889]   RDTSC Exiting: Can set=Yes, Can clear=Yes
[11978.893358]   CR3 Load Exiting: Can set=Yes, Can clear=No
[11978.899102]   CR3 Store Exiting: Can set=Yes, Can clear=No
[11978.904703]   Activate Tertiary Controls: Can set=No, Can clear=Yes
[11978.911094]   CR8 Load Exiting: Can set=Yes, Can clear=Yes
[11978.916693]   CR8 Store Exiting: Can set=Yes, Can clear=Yes
[11978.922378]   Use TPR Shadow: Can set=Yes, Can clear=Yes
[11978.927806]   NMI Window Exiting: Can set=No, Can clear=Yes
[11978.933490]   MOV-DR Exiting: Can set=Yes, Can clear=Yes
[11978.939012]   Unconditional I/O Exiting: Can set=Yes, Can clear=Yes
[11978.945432]   Use I/O Bitmaps: Can set=Yes, Can clear=Yes
[11978.951128]   Monitor Trap Flag: Can set=No, Can clear=Yes
[11978.956741]   Use MSR Bitmaps: Can set=Yes, Can clear=Yes
[11978.962424]   MONITOR Exiting: Can set=Yes, Can clear=Yes
[11978.968027]   PAUSE Exiting: Can set=Yes, Can clear=Yes
[11978.973478]   Activate Secondary Controls: Can set=Yes, Can clear=Yes
[11978.980273] Processor based Secondary Controls MSR: 0x51ff00000000
[11978.986583]   Virtualize APIC accesses: Can set=Yes, Can clear=Yes
[11978.993095]   Enable EPT: Can set=Yes, Can clear=Yes
[11978.998268]   Descriptor Table Exiting: Can set=Yes, Can clear=Yes
[11979.004562]   Enable RDTSCP: Can set=Yes, Can clear=Yes
[11979.009913]   Virtualize x2APIC Mode: Can set=Yes, Can clear=Yes
[11979.016032]   Enable VPID: Can set=Yes, Can clear=Yes
[11979.021215]   WBINVD Exiting: Can set=Yes, Can clear=Yes
[11979.026649]   Unrestricted Guest: Can set=Yes, Can clear=Yes
[11979.032510]   APIC-register Virtualization: Can set=Yes, Can clear=Yes
[11979.039150]   Virtual-interrupt Delivery: Can set=No, Can clear=Yes
[11979.045531]   PAUSE-loop Exiting: Can set=No, Can clear=Yes
[11979.051239]   RDRAND exiting: Can set=No, Can clear=Yes
[11979.056678]   Enable INVPCID: Can set=Yes, Can clear=Yes
[11979.062290]   Enable VM Functions: Can set=No, Can clear=Yes
[11979.068068]   VMCS Shadowing: Can set=Yes, Can clear=Yes
[11979.073496]   Enable ENCLS Exiting: Can set=No, Can clear=Yes
[11979.079356]   RDSEED Exiting: Can set=No, Can clear=Yes
[11979.084991]   Enable PML: Can set=No, Can clear=Yes
[11979.089988]   EPT-violation #VE: Can set=No, Can clear=Yes
[11979.095590]   Conceal VMX from PT: Can set=No, Can clear=Yes
[11979.101379]   Enable XSAVES/XRSTORS: Can set=No, Can clear=Yes
[11979.107358]   Mode-based Execute Control for EPT: Can set=No, Can clear=Yes
[11979.114437]   Sub-page Write Permissions for EPT: Can set=No, Can clear=Yes
[11979.121509]   Intel PT Uses Guest Physical Addresses: Can set=No, Can clear=Yes
[11979.128935]   Use TSC Scaling: Can set=No, Can clear=Yes
[11979.134381]   Enable User Wait and Pause: Can set=No, Can clear=Yes
[11979.140769]   Enable ENCLV Exiting: Can set=No, Can clear=Yes
[11979.146727] Processor based Tertiary Controls MSR: 0x0
[11979.151981]   LOADIWKEY Exiting: Can set=No, Can clear=Yes
[11979.157586]   Enable HLAT: Can set=No, Can clear=Yes
[11979.162668]   EPT Paging-write Control: Can set=No, Can clear=Yes
